"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Regra de Preço no Catalogo baseado em ""%s"" atributos foram desabilitados."
Actions,Ações
Active,Ativado
"Add New Rule","Criar Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao excluir a regra. Analise o arquivo de log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar as informações da regra. Analise o arquivo de log e tente novamente."
Apply,Aplicar
"Apply Rules","Aplicar Regras"
"Attribute Set","Grupo de Atributos"
"By Fixed Amount","Por um montante fixo"
"By Percentage of the Original Price","Percentagem do preço Original"
Catalog,Catálogo
"Catalog Price Rule","Regras da Promoção"
"Catalog Price Rules","Promoção de Catálogo"
Category,Categoria
Conditions,Condições
"Conditions (leave blank for all products)","Condições (deixe em branco para aplicar a todos os produtos)"
"Conditions Combination","Combinar Condições"
"Customer Groups","Grupo de Clientes"
"Date Expire","Data Expira"
"Date From","Da Data"
"Date Start","Data Início"
"Date To","Para Data"
Description,Descrição
"Discount Amount","Valor do desconto"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Enable Discount to Subproducts","Habilitar o desconto de subprodutos"
"From Date","Iniciar em"
"General Information","Informação Geral"
ID,ID
Inactive,Desativado
"New Rule","Nova Regra"
No,Não
Options,Opções
Priority,Prioridade
"Product Attribute","Atributo do Produto"
Promotions,Promoções
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar"
Status,Status
"Stop Further Rules Processing","Parar processamento de novas regras"
"The rule has been deleted.","A regra foi excluída."
"The rule has been saved.","A regra foi salva."
"The rules have been applied.","A regra foi aplicada."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Algumas regras foram alteradas mas não aplicadas. Por favor, clique em Aplicar Regras para ver o efeito imediato no catálogo."
"This rule no longer exists.","Esta regra não existe mais."
"To Date","Finalizar em"
"To Fixed Amount","A quantia fixa"
"To Percentage of the Original Price","A percentagem do preço Original"
"Unable to apply rules.","Não foi possível aplicar as regras."
"Unable to find a rule to delete.","Não foi possível encontrar a página excluída."
"Update Prices Using the Following Information","Preços de atualização usando as seguintes informações"
"Update product's %s %s: %s","Atualizar produtos %s %s: %s"
Website,"Sítio Web"
Websites,Sistemas
"Wrong rule specified.","Regra especificada errada."
Yes,Sim
