Add,Adicionar
"Add New Row",Adicionar
"Add links and samples to downloadable product","Adicionar links e amostras de produto para download"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanuméricos, traços e underlines são recomendados para nome de arquivos. Caracteres impróprios serão adicionados com \'_\'."
"An error occurred while getting the requested content.","Ocorreu um erro enquanto era recuperado conteúdo."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro enquanto era recuperado conteúdo. Entre em contato com o administrador da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao tentar salvar o arquivo(s)."
Availability:,Disponível:
Back,Voltar
Canceled,Cancelado
"Cannot connect to remote host, error: %s.","Não foi possível se conectar ao servidor, erro: %s."
"Catalog Product View (Downloadable)","Visualizar Produtos do Catálogo (Digitais)"
"Category API","API de Categoria"
"Customer My Account Downloadable Items","Cliente Minha Conta Digital Itens"
Date,Data
"Default Link Title","Link Título Padrão"
"Default Maximum Number of Downloads","Número Máximo de Downloads Padrão"
"Default Sample Title","Título Exemplo Padrão"
Delete,Excluir
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar finalizar pedido como visitante se o carrinho tiver itens para download"
"Downloadable Information","Informação Digital"
"Downloadable Product","Produto Digital"
"Downloadable Product Options","Opções de Produtos Digital"
"Downloadable Product Section","Seção de produtos para download"
Edit,Editar
"Edit item parameters","Editar itens do parâmetros"
"Excl. Tax","Excl. Imposto"
File,Arquivo
From:,De:
"Gift Message","Mensagem Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Meus Produtos Digitais</a>"
"Guest checkout will only work with shareable.","Finalizar pedido como visitante apenas funciona com partilhável."
"In stock","Em estoque"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host.","Inválido URL host download."
"Invalid download URL scheme.","Inválido scheme URL download."
"Invalid download link type.","Inválido tipo de link download."
Invoiced,Faturado
"Links can be purchased separately","Links podem ser comprados separadamente"
List,Lista
"Max. Downloads","Max. Downloads"
Message:,Mensagem:
Move,Mover
"My Downloadable Products","Meus Produtos Digitais"
"Open Links in New Window","Abrir links em nova janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status do Pedido de item habilitado Downloads"
"Order id cannot be null","Ordem id não pode ser nulo"
"Order item id cannot be null","Ordem id item não pode ser nulo"
Ordered,Ordem
"Out of stock",Esgotado
Pending,Pendente
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Faça login para baixar seu produto ou comprar <a href=""%s""> %s</a>."
"Please log in to download your product.","Por favor se identifique para baixar o produto."
"Please set resource file and link type.","Por favor marque a fonte do arquivo e o tipo de link."
"Please specify product link(s).","Por favor especifique o link do produto."
Price,Preço
"Product downloadable links","Links para download do produto"
Qty,Qtd
Refunded,Reembolsar
"Remaining Downloads","Downloads Disponíveis"
Remove,Remover
"Remove Item","Excluir Item"
"Remove links and samples from downloadable product","Remover links e amostras do produto para download"
"Requested link does not exist.","Link requisitado não existe."
"Retrieve links and samples list from downloadable product","Recuperar a lista de links e amostras do produto para download"
Sample,Exemplo
"See price before order confirmation.","Ver o preço antes da confirmação da ordem."
Shareable,Compartilhar
Shipped,Enviado
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpe, houve um erro ao obter o conteúdo solicitado. Por favor, entre em contato com o dono da loja."
"Sort Order",Ordenar
"Start Download","Iniciar Download"
Status,Status
"The file does not exist.","O arquivo não existe."
"The link has expired.","O link já expirou."
"The link is not available.","O link não está disponível."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Existem arquivos que foram selecionados, mas não carregados ainda. Por favor, fazer o upload ou removê-los primeiro"
Title,Título
To:,Para:
U,U
Unlimited,Ilimitado
"Use Content-Disposition","Usar Conteúdo-Disponibilizado"
"Use Default Value","Usar Valor Padrão"
"View Order","Visualizar Pedido"
"What's this?","O que é isso?"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto digital."
attachment,anexar
download,download
inline,"na linha"
sample,exemplo
