"%name% '%value%' is too long. It must has length %min% symbols.","% name % '% valor %' é muito longo. Ele deve tem comprimento % min % símbolos."
"%name% '%value%' is too short. It must has length %min% symbols.","% name % '% valor %' é demasiado curto. Ele deve tem comprimento % min % símbolos."
"* Required Fields","* Campos Obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> solicita acesso à sua conta"
Admin,Admin
"After authorization application will have access to you account.","Após autorização aplicativo terá acesso à conta de você."
"An error occurred on confirm authorize.","Erro ao confirmar a autorizar."
"An error occurred on delete action.","Ocorreu um erro na ação de exclusão."
"An error occurred on delete application.","Ocorreu um erro no pedido de exclusão."
"An error occurred on reject authorize.","Ocorreu um erro ao rejeitar autorizar."
"An error occurred on saving consumer data.","Ocorreu um erro ao salvar dados do consumidor."
"An error occurred on update revoke status.","Ocorreu um erro na atualização de status de revogação."
"An error occurred while deleting the consumer.","Ocorreu um erro ao excluir o consumidor."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. Seu pedido de autorização é inválido."
"App Name","Nome de App"
"Application ""%s"" has been deleted.","Aplicativo ""%s"" foi excluído."
"Application ""%s"" has been enabled.","Aplicativo ""%s"" foi habilitado."
"Application ""%s"" has been revoked.","Aplicativo ""%s"" foi revogado."
"Application Name","Nome do aplicativo"
"Application not found.","Aplicativo não encontrado."
"Are you sure you want to delete this application?","Tem a certeza de que deseja excluir este aplicativo?"
"Are you sure you want to disable this application?","Tem a certeza de que quer desactivar esta aplicação?"
"Are you sure you want to enable this application?","Tem a certeza de que deseja permitir que esse aplicativo?"
"Authorization confirmed","Autorização confirmada"
"Authorization confirmed.","Autorização confirmada."
Authorize,Autorizar
"Authorize application","Autorizar o aplicativo"
"Authorized Tokens","Tokens autorizados"
"Callback URL","URL de retorno de chamada"
"Cleanup Probability","Probabilidade de limpeza"
"Cleanup Settings","Configurações de limpeza"
Close,Fechar
"Confirm OAuth token authorization","Confirmar OAuth token autorização"
"Confirm token authorization Pop Up for admin","Confirmar autorização símbolo Pop-Up para admin"
"Confirm token authorization for admin","Confirmar token autorização para admin"
"Confirmation Of Authorization","Confirmação da autorização"
"Consumer Information","Informação ao consumidor"
"Consumer Name","Nome do consumidor"
Consumers,Consumidores
"Created At","Criado em"
Customer,Cliente
"Customer My Account My OAuth Applications","Cliente minha conta minhas aplicações OAuth"
Delete,Excluir
Disable,Desativar
Disabled,Desabilitado
Edit,Editar
"Edit Consumer","Editar consumidor"
Email,Email
"Email Address","Endereço de Email"
Enable,Habilitar
Enabled,Habilitado
"Entry with ID #%s not found.","Entrada com ID # %s não foi encontrado."
"Expiration Period","Período de validade"
"Give the verifier code to application administrator","Dar o código verificador para administrador de aplicativos"
ID,ID
"Invalid Callback URL","URL de retorno de chamada inválido"
"Invalid ID parameter.","Parâmetro de ID inválido."
"Invalid Rejected Callback URL","URL de retorno de chamada rejeitada inválido"
"Invalid entry ID.","ID de entrada inválida."
"Invalid revoke status.","Status de revogação de inválido."
Key,Chave
"Log In",Entrar
"Log in as a customer","Faça logon como um cliente"
"Log in as admin","Faça login como admin"
"Log in as customer","Fazer logon como cliente"
"Log in to use <strong>%s</strong>","Logon para usar o <strong>%s</strong>"
Login,Entrar
"My Applications","Meus pedidos"
Name,Nome
"New Consumer","Novo consumidor"
OAuth,OAuth
"OAuth Admin My Apps","OAuth Admin meus Apps"
"OAuth Authorized Tokens","OAuth autorizados Tokens"
"OAuth Consumers","Consumidores OAuth"
"OAuth authorization Pop Up for customer","Autorização OAuth Pop-Up para o cliente"
"OAuth authorization for admin","Autorização do OAuth para admin"
"OAuth authorization for customer","Autorização do OAuth para cliente"
"OAuth authorization simple for admin","Autorização do OAuth simple para admin"
Password,Senha
Permissions,Permissões
"Please login to proceed authorization.","Faça o seu login para continuar a autorização."
"Please select needed row(s).","Por favor, selecione linhas necessárias."
"Please select revoke status.","Por favor, selecione o status de revogação."
"REST - My Apps","RESTO - meus Apps"
"REST - OAuth Authorized Tokens","DESCANSO - OAuth autorizados Tokens"
"REST - OAuth Consumers","DESCANSO - OAuth consumidores"
Reject,Rejeitar
"Reject OAuth token authorization","Rejeitar OAuth token autorização"
"Reject authorization","Rejeitar a autorização"
"Reject token authorization Pop Up for admin","Rejeitar token autorização Pop-Up para admin"
"Reject token authorization for admin","Rejeitar token autorização para admin"
"Rejected Callback URL","URL de retorno de chamada rejeitada"
"Rejection Of Authorization","Recusa de autorização"
Revoked,Revogado
"Role Name","Nome da função"
Save,Salvar
"Save and Continue Edit","Salvar e Continuar Editando"
Secret,Segredo
"Selected entries enabled.","Entradas selecionadas habilitadas."
"Selected entries has been deleted.","Entradas selecionadas foram excluídas."
"Selected entries revoked.","Entradas selecionadas revogada."
Status,Status
System,Sistema
"The application access request is rejected.","O pedido de acesso do aplicativo é rejeitado."
"The consumer has been deleted.","O consumidor foi excluído."
"The consumer has been saved.","O consumidor foi salvo."
"Token Status Change","Alteração no Status do token"
"Token Status Change Email Template","Modelo de E-mail de mudança de Status símbolo"
"Unable to find a consumer.","Não é possível encontrar um consumidor."
"User ID","ID de usuário"
"User Name","Nome de usuário"
"User Type","Tipo de usuário"
"Verifier code: %s","Código de verificador: %s"
"You have no applications.","Você não tem nenhum aplicativo."
deleted,excluído
enabled,ativado
revoked,revogado
